city,state,church,total_members,additions,losses,ruling_elders,deacons,tithes_offerings,building_fund_offering,total_contributions,other_income,total_church_income,current_expenses,building_fund_disbursed,grand_total_disbursements,per_capita_giving
Rockvale,TN,Redeemer Church Murfreesboro,71,8,0,3,2,218179,159,218510,2695,221205,164004,9720,195541,3641.83333333333
Knoxville,TN,Redeemer Church of Knoxville,350,0,0,NA,NA,811304,NA,811304,NA,811304,732000,NA,982000,3245.216
Montclair,NJ,Redeemer Church of Montclair,282,24,9,7,9,1060196,2340,1062536,21494,1084030,798324,154583,1031635,6324.61904761905
Sylva,NC,Redeemer Church PCA,77,3,0,3,4,180000,42000,226200,NA,226200,169214,100000,285664,4267.92452830189
Jackson,MS,"Redeemer Church, PCA",856,97,125,11,17,NA,NA,0,NA,0,NA,NA,0,0
Ocala,FL,Redeemer Community Church PCA,88,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York,NY,Redeemer East Harlem,70,24,3,NA,NA,478771,NA,494471,NA,494471,NA,NA,0,7063.87142857143
Hoboken,NJ,Redeemer Hudson,222,8,0,3,6,351378,0,366629,13524,380153,387978,0,417358,2365.34838709677
Jersey City,NJ,Redeemer Jersey City Church,90,0,0,NA,NA,399990,NA,399990,NA,399990,320000,NA,395000,5555.41666666667
Longmont,CO,Redeemer Longmont,2,0,0,NA,NA,138917,NA,138917,186718,325635,324429,NA,324429,69458.5
Lincoln,NE,Redeemer PCA,195,19,1,4,1,316900,NA,316900,NA,316900,NA,17043,37420,1625.12820512821
Peoria,IL,Redeemer Presbyterian,70,0,3,3,3,209546,4850,216071,6544,222615,149564,NA,165102,3662.22033898305
Tyler,TX,Redeemer Presbyterian,NA,NA,NA,0,0,96030,0,96030,0,96030,52699,0,53699,0
Soldotna,AK,Redeemer Presbyterian Church,26,7,4,0,0,74181,NA,155614,384,155998,161712,NA,161962,7073.36363636364
Siloam Springs,AR,Redeemer Presbyterian Church,190,22,1,4,5,347914,NA,348364,107633,455997,512332,NA,534294,2453.2676056338
Chambersburg,PA,Redeemer Presbyterian Church,122,8,4,3,0,196000,2600,199500,6000,205500,183000,0,193200,2850
Indianapolis,IN,Redeemer Presbyterian Church,866,71,16,14,6,3425094,30756,3568256,363783,3932039,2601997,135982,3351202,5126.80459770115
Temple,TX,Redeemer Presbyterian Church,231,26,14,4,3,619000,19000,676100,NA,676100,535540,39418,642454,3558.42105263158
Kingsville,MD,Redeemer Presbyterian Church,84,3,0,3,4,92035,0,99363,15324,114687,92312,0,107013,1307.40789473684
Parker,CO,Redeemer Presbyterian Church,103,10,14,4,2,163008,0,176704,0,176704,166536,0,179586,2420.60273972603
Raleigh,NC,Redeemer Presbyterian Church,571,55,17,10,12,1460900,18525,1488779,4580,1493359,1062174,0,1298159,3807.6189258312
Concord,MA,Redeemer Presbyterian Church,0,0,0,0,0,307004,0,375345,5839,381184,283021,0,354523,0
Santa Rosa,CA,Redeemer Presbyterian Church,130,13,6,5,4,415949,NA,454549,NA,454549,405021,NA,458779,3607.53174603175
Overland Park,KS,Redeemer Presbyterian Church,522,34,21,12,15,1555740,0,1749517,261799,2011316,1714622,0,2138848,3819.90611353712
Austin,TX,Redeemer Presbyterian Church,505,33,26,15,7,1770323,56270,1903257,106035,2009292,1775671,NA,1890732,4586.16144578313
Athens,GA,Redeemer Presbyterian Church,719,108,25,10,15,2146519,0,2213316,124186,2337502,1721280,228057,2174525,3783.44615384615
McKinney,TX,Redeemer Presbyterian Church,632,102,21,8,8,1319996,453477,1838153,28749,1866902,802935,198952,1254418,3713.4404040404
Riverview,FL,Redeemer Presbyterian Church,304,20,17,10,8,881946,59638,1007506,30010,1037516,827830,52716,978133,4324.06008583691
Amarillo,TX,Redeemer Presbyterian Church,78,6,0,5,3,390642,NA,413717,30919,444636,285383,NA,338285,8274.34
Sugar Land,TX,Redeemer Presbyterian Church,109,13,8,4,NA,316793,21010,343063,NA,343063,NA,14320,22899,4036.03529411765
Virginia Beach,VA,Redeemer Presbyterian Church,99,0,15,3,0,378137,1000,379137,0,379137,325781,30325,392430,5055.16
Memphis,TN,Redeemer Presbyterian Church,315,0,0,NA,NA,698286,NA,698286,NA,698286,NA,NA,33571,2216.78095238095
Lakeland,FL,Redeemer Presbyterian Church,106,8,14,4,5,209160,NA,227962,12000,239962,263602,NA,286769,2746.53012048193
Inverness,FL,Redeemer Presbyterian Church,68,13,3,2,5,147000,1900,156000,1600,157600,130480,33720,174000,2437.5
Louisville,KY,Redeemer Presbyterian Church,241,34,19,3,6,703293,151177,862897,4825,867722,555557,115913,738276,5359.60869565217
Traverse City,MI,Redeemer Presbyterian Church,143,16,3,5,2,411794,NA,424835,10029,434864,429535,NA,491736,2970.87412587413
Titusville,FL,Redeemer Presbyterian Church,94,1,0,4,1,181465,0,188881,NA,188881,179592,0,195892,2453
New Orleans,LA,Redeemer Presbyterian Church,236,0,52,5,NA,518500,NA,549900,11200,561100,484200,NA,575300,3480.37974683544
Florence,AL,Redeemer Presbyterian Church,183,13,7,6,3,NA,NA,0,NA,0,NA,NA,0,0
Charleston,SC,Redeemer Presbyterian Church,191,15,57,3,6,709818,186109,895927,87551,983478,600000,355000,1001127,7404.35537190083
Brunswick,GA,Redeemer Presbyterian Church,30,0,0,NA,NA,119294,NA,119294,NA,119294,95247,NA,96884,4418.2962962963
Des Moines,IA,Redeemer Presbyterian Church,19,0,1,NA,NA,149000,NA,149000,NA,149000,54000,NA,60600,7842.1052631579
Waco,TX,Redeemer Presbyterian Church,334,32,32,12,9,856648,24280,904428,700,905128,561560,180000,818380,2707.86826347305
Newport Beach,CA,Redeemer Presbyterian Church,265,0,0,NA,NA,1049925,NA,1049925,NA,1049925,804588,NA,846288,4374.6875
Greenville,SC,Redeemer Presbyterian Church,381,47,2,6,10,797503,450,814017,32364,846381,618517,874,653072,3095.1216730038
Hurricane,WV,Redeemer Presbyterian Church,170,23,10,3,7,0,0,0,0,0,0,0,33408,0
San Antonio,TX,Redeemer Presbyterian Church,887,86,87,11,12,3398669,2460,3401129,188093,3589222,2808808,47290,3498617,4736.94846796657
San Antonio,TX,Redeemer Presbyterian Church,887,86,87,11,12,3398669,2460,3401129,188093,3589222,2808808,47290,3498617,4736.94846796657
Dickson,TN,Redeemer Presbyterian Church,72,0,0,NA,NA,147207,NA,147207,NA,147207,137539,NA,159544,2453.45
Winston-Salem,NC,Redeemer Presbyterian Church,549,27,56,6,12,1532300,117,1598021,80069,1678090,1271909,56335,1643040,3724.99067599068
Winston-Salem,NC,Redeemer Presbyterian Church,549,27,56,6,12,1532300,117,1598021,80069,1678090,1271909,56335,1643040,3724.99067599068
Winston-Salem,NC,Redeemer Presbyterian Church,549,27,56,6,12,1532300,117,1598021,80069,1678090,1271909,56335,1643040,3724.99067599068
Columbia,MO,Redeemer Presbyterian Church,55,3,11,1,2,132000,NA,162000,NA,162000,110275,NA,121400,4378.37837837838
Detroit,MI,Redeemer Presbyterian Church Detroit,216,0,0,6,6,672000,NA,672000,NA,672000,NA,NA,0,4148.14814814815
New York,NY,Redeemer Presbyterian Church Downtown,619,49,34,5,13,3974684,0,4199830,744854,4944684,3702810,NA,3767810,9149.95642701525
New York,NY,Redeemer Presbyterian Church East Side,915,31,50,13,15,3922000,890000,4916000,706000,5622000,3620000,6466000,10210500,6982.95454545455
Athens,TN,Redeemer Presbyterian Church in America,NA,NA,NA,NA,NA,160000,NA,160000,NA,160000,135000,NA,137800,0
New York,NY,Redeemer Presbyterian Church Lincoln Square,505,71,18,6,7,NA,NA,0,NA,0,NA,NA,0,0
Encinitas,CA,Redeemer Presbyterian Church of San Diego,843,108,5,15,8,4371000,NA,4371000,NA,4371000,4182492,NA,4448492,5185.05338078292
New York,NY,Redeemer Presbyterian Church West Side,729,57,153,10,16,8870274,NA,9822609,4097523,13920132,10085928,3466571,13755878,19606.005988024
Woodinville,WA,Redeemer Redmond Church,71,6,1,4,3,291883,NA,302824,11,302835,310906,NA,327913,5047.06666666667
Queensbury,NY,Redeemer Reformed Presbyterian Church,55,11,6,2,1,156521,NA,156521,NA,156521,124950,NA,138700,3640.02325581395
Valdosta,GA,Redeemer Valdosta,78,5,9,3,2,170017,NA,180360,NA,180360,NA,NA,0,2732.72727272727
Winter Haven,FL,Redeemer Winter Haven,387,32,41,10,6,NA,NA,0,NA,0,NA,NA,0,0
Lake Wylie,SC,Redeeming Grace PCA,159,7,12,5,3,745687,NA,751187,48600,799787,451539,NA,599373,5648.02255639098
Owensville,MO,Redeeming Grace Presbyterian Church,68,4,2,4,1,188357,205895,394252,NA,394252,NA,NA,19650,7581.76923076923
Fayetteville,GA,Redemption Fellowship Presbyterian Church,150,0,0,NA,NA,166532,NA,166532,NA,166532,NA,NA,10445,1110.21333333333
Jefferson Hills,PA,Redemption Hill Church PCA,81,7,4,2,2,144230,NA,144230,10000,154230,154099,NA,162962,2721.32075471698
Orland Park,IL,Redemption Presbyterian Church,40,8,2,1,2,128000,NA,128000,NA,128000,120000,NA,120000,4000
South River,NJ,Redentor Presbyterian Church,78,10,5,4,4,128456,5521,137150,955,138105,0,0,26839,2449.10714285714
Homestead,FL,Redlands Community Church,66,5,1,4,4,408492,545,421167,13701,434868,336194,63902,433471,6479.49230769231
Dillon,SC,Reedy Creek Presbyterian Church,16,0,0,1,NA,27287,NA,35587,341,35928,29254,NA,38154,3558.7
Mankato,MN,Reformation Presbyterian Church,44,7,0,2,0,147245,NA,149075,NA,149075,168745,NA,174545,4259.28571428571
Pike Road,AL,Reformation Presbyterian Church,87,22,7,5,5,472512,NA,472512,2558,475070,163868,200000,411348,5833.48148148148
Beaumont,TX,Reformed Presbyterian Church,107,8,2,2,3,370651,0,383464,18219,401683,205524,0,304541,5181.94594594595
Ephrata,PA,Reformed Presbyterian Church,300,55,7,9,10,494335,2145,552245,56,552301,435945,43889,576053,2642.32057416268
Duanesburg,NY,Reformed Presbyterian Church,99,2,1,4,8,186992,45000,231992,NA,231992,169722,16000,246344,2697.58139534884
Lemmon,SD,Reformed Presbyterian Church,92,9,0,2,4,81510,0,92446,0,92446,75853,0,82828,1593.89655172414
La Quinta,CA,Reformed Presbyterian Church in Palm Springs,17,0,10,0,NA,60945,301,61246,NA,61246,64401,0,64601,4374.71428571429
Bowie,MD,Reformed Presbyterian Church of Bowie,142,8,0,7,4,540000,NA,540000,NA,540000,415036,NA,472400,4186.04651162791
Cutler,IL,Reformed Presbyterian Church of Cutler,34,0,0,1,0,50757,0,60246,5400,65646,56589,0,65599,2151.64285714286
Kittanning,PA,Reformed Presbyterian Church of Slate Lick,38,7,1,1,3,55402,0,55402,2057,57459,52080,NA,55980,1582.91428571429
Reidville,SC,Reidville Presbyterian Church,23,2,5,4,1,77237,NA,134149,3669,137818,76684,31380,128299,5832.5652173913
Plymouth Meeting,PA,Renewal Presbyterian Church of the Main Line,199,21,32,2,1,345701,NA,345701,NA,345701,372251,NA,425526,2722.05511811024
St. Louis,MO,Restoration Community Church,305,32,1,3,5,NA,NA,840000,NA,840000,NA,NA,0,3206.10687022901
Dacula,GA,Restoration Presbyterian Church,267,27,0,6,5,654262,NA,682654,NA,682654,721163,0,796187,3379.47524752475
Upper Chichester,PA,Restoration Presbyterian Church,53,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chattanooga,TN,Restoration Southside Church,653,79,20,8,19,1299873,331526,1639883,23399,1663282,1254451,0,1276662,3660.453125
Ottawa,ON,Resurrection Church,151,6,10,3,3,370000,NA,370000,NA,370000,338680,NA,412930,4302.32558139535
Virginia Beach,VA,Resurrection Community Church,60,13,7,NA,NA,69661,NA,69661,148323,217984,217410,NA,221210,1699.0487804878
Apex,NC,Resurrection Life Church,81,18,0,2,4,197000,0,251375,0,251375,256500,40000,296500,4054.43548387097
Madison,WI,Resurrection Madison,85,13,6,3,0,155000,NA,155000,81000,236000,235000,NA,253500,2313.4328358209
Oakland,CA,Resurrection Oakland Church,246,0,0,3,0,1818747,450000,2268747,58172,2326919,1509625,130987,1753081,11755.1658031088
Bogart,GA,Resurrection Presbyterian Church,218,19,9,3,7,529256,43173,595300,380572,975872,430498,115840,564258,3421.26436781609
Austin,TX,Resurrection Presbyterian Church,55,2,1,NA,NA,776748,NA,776748,NA,776748,364747,NA,364747,19418.7
Greenville,SC,Resurrection Presbyterian Church,188,37,0,NA,NA,598618,NA,628990,2359,631349,363642,NA,405642,3345.6914893617
West Lafayette,IN,Resurrection Presbyterian Church,70,13,11,3,2,0,0,0,0,0,0,0,0,0
Puyallup,WA,Resurrection Presbyterian Church,193,25,7,5,6,415344,248077,670591,NA,670591,NA,NA,37041,3967.99408284024
San Diego,CA,Resurrection Presbyterian Church of San Diego,105,0,0,NA,NA,320000,NA,320000,NA,320000,340000,NA,360000,4266.66666666667
Knoxvillle,TN,"Resurrection Presbyterian Church, Inc.",425,0,0,NA,NA,NA,NA,0,NA,0,NA,NA,0,0
Sunnyvale,CA,Revive Presbyterian Church of Silicon Valley,95,6,2,0,0,400090,0,516407,0,516407,408751,0,438384,7273.33802816901
Chico,CA,Ridge Presbyterian Church,381,15,2,6,10,473847,NA,491854,8167,500021,387000,NA,429709,1707.82638888889
Tucson,AZ,Rincon Mountain Presbyterian Church,243,27,5,7,7,619341,138180,841877,6376,848253,666148,69548,880878,3464.51440329218
Ft. Lauderdale,FL,Rio Vista Church,505,66,8,9,11,NA,NA,0,NA,0,NA,NA,0,0
Prairieville,LA,River Community Church,86,8,19,5,1,288442,NA,308474,1348,309822,269858,NA,287388,4284.36111111111
Lake Mary,FL,River Oaks Presbyterian Church,395,41,28,7,8,867379,45058,1006117,NA,1006117,756234,NA,894879,3021.37237237237
Hopewell,VA,River's Edge Bible Church,35,0,4,3,2,60765,NA,75240,NA,75240,53132,NA,66946,2149.71428571429
Irmo,SC,Rivercrest Presbyterian Church,228,19,3,6,11,442007,383551,825558,NA,825558,270000,108000,406406,5292.03846153846
Tulsa,OK,RiverOaks Presbyterian Church,524,30,11,12,10,1275364,1073000,2376864,91800,2468664,1118930,210412,1395792,5619.06382978723
Germantown,TN,Riveroaks Reformed Presbyterian Church,513,37,26,9,11,1733208,NA,1733208,29325,1762533,1165434,NA,1447434,3834.53097345133
Beaumont,TX,Riverside Church,106,10,0,2,4,221480,100000,337153,2246,339399,164744,39600,229700,4322.47435897436
Cartersville,GA,Riverside Community Church,90,8,6,2,1,247393,0,247393,11403,258796,125392,9000,157272,3990.20967741935
Tuscaloosa,AL,Riverwood Presbyterian Church,139,12,12,4,5,395850,15905,432978,NA,432978,375052,15905,441759,3409.27559055118
Clinton,SC,Rock Bridge Presbyterian Church,12,0,0,3,0,65132,NA,66026,NA,66026,37138,4411,42693,5502.16666666667
Rising Fawn,GA,Rock Creek Fellowship,611,39,5,11,8,923506,NA,940706,3572,944278,105693662,NA,105802479,1908.12576064909
Southampton,PA,Rock of Israel PCA,15,1,0,NA,NA,69000,NA,69000,NA,69000,3500,NA,5000,4600
Billings,MT,Rocky Mountain Community Church,396,13,37,9,8,1009496,550,1026513,57989,1084502,801360,11798,1107726,3444.6744966443
Westminster,CO,Rocky Mountain Presbyterian Church,197,23,17,7,4,694906,179104,874010,43119,917129,492308,288192,922994,5531.70886075949
Harrisville,PA,Rocky Springs Presbyterian Church,69,1,1,2,2,68997,250,69645,0,69645,61608,0,74683,1365.58823529412
Roebuck,SC,Roebuck Presbyterian Church,85,2,0,6,5,173329,3030,176359,386,176745,119644,205473,336636,2177.27160493827
Lutherville,MD,Roland Run Presbyterian Church,130,0,0,NA,NA,347497,NA,347497,NA,347497,294049,NA,319798,3159.06363636364
Columbia,SC,Rose Hill Presbyterian Church,75,0,11,3,5,25860432,NA,26033868,NA,26033868,228097,NA,261941,388565.194029851
Springfield,VA,Rothem Presbyterian Church,137,11,4,2,5,146371,32970,253855,0,253855,25000,0,40600,2169.70085470085
Anaheim,CA,Sa-Rang Community Church,9448,0,0,NA,NA,10707002,NA,10707002,NA,10707002,9932210,NA,9932210,2488.26446665117
Alpharetta,GA,Sae Han Presbyterian Church of Atlanta,215,71,19,5,45,176000,164353,368295,0,368295,134400,130000,299200,2455.3
Newnan,GA,Saebit Korean Presbyterian Church,19,6,6,1,2,44043,16050,77808,NA,77808,61758,16050,78208,4095.15789473684
Norfolk,VA,Saesoon Presbyterian Church of Virginia,46,10,1,NA,NA,90978,4680,147500,NA,147500,134267,NA,138767,3430.23255813953
Stevensville,MD,Safe Harbor Presbyterian Church,306,21,7,4,9,656097,1376,722602,8577,731179,514143,126148,725138,2361.44444444444
Destin,FL,Safe Harbor Presbyterian Church,44,4,10,2,2,214984,0,221450,2764,224214,166191,0,181382,5678.20512820513
Greeley,CO,Saint Patrick,105,29,0,0,0,193000,50000,325600,0,325600,375000,0,376290,4070
Alpine,AL,Salem Presbyterian Church,28,0,0,3,0,109711,0,113575,8694,122269,65399,NA,93199,4056.25
Blair,SC,Salem Presbyterian Church,132,2,3,6,7,199330,NA,205678,NA,205678,151681,NA,259437,1757.93162393162
Gaffney,SC,Salem Presbyterian Church,63,2,1,4,4,110700,NA,110985,NA,110985,79300,NA,85785,2055.27777777778
Winston-Salem,NC,Salem Presbyterian Church,347,32,32,4,7,750800,NA,750800,3210,754010,638190,0,796932,2944.3137254902
Winston-Salem,NC,Salem Presbyterian Church,347,32,32,4,7,750800,NA,750800,3210,754010,638190,0,796932,2944.3137254902
Salina,KS,Salina Presbyterian Church,27,18,0,NA,NA,12219,NA,12219,NA,12219,15000,NA,15000,678.833333333333
San Diego,CA,San Diego New Hope Church,109,0,0,NA,NA,350000,NA,350000,NA,350000,307000,NA,307000,5000
Jupiter,FL,Sand Harbor Presbyterian Church,98,10,14,3,1,432368,0,432368,107520,539888,307230,137000,505290,4913.27272727273
Birchleaf,VA,Sandlick Presbyterian Church,57,0,1,3,3,116986,15000,131986,NA,131986,126772,NA,133505,2693.59183673469
Columbia,SC,Sandol Presbyterian Church,9,0,7,NA,3,37986,540,50735,NA,50735,6903,NA,10203,5637.22222222222
Ambler,PA,Sarang Nanum Community Church,15,1,0,NA,NA,36498,1200,39898,NA,39898,24600,NA,32200,2659.86666666667
New Zion,SC,Sardinia Presbyterian Church,101,0,5,4,5,106215,22356,135517,897,136414,119937,NA,127012,1652.64634146341
Sardis,MS,Sardis Presbyterian Church,50,0,0,NA,NA,70331,NA,70331,NA,70331,NA,NA,NA,1406.62
Bayside,NY,Savior Presbyterian Church,42,0,0,NA,NA,170382,NA,170382,NA,170382,190922,NA,204122,4155.65853658537
Scooba,MS,Scooba Presbyterian Church,10,0,0,NA,NA,13351,NA,13351,NA,13351,NA,NA,120,1335.1
Delray Beach,FL,Seacrest Presbyterian Church,124,0,6,2,5,294806,NA,426792,NA,426792,454524,NA,481400,4026.33962264151
Mountlake Terrace,WA,Seattle Saesomang Church,240,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mountlake Terrace,WA,Seattle Saesomang Church,240,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrisburg,PA,Second City Church,137,7,4,4,NA,269439,NA,274970,22832,297802,NA,NA,60000,2165.11811023622
Yazoo City,MS,Second Presbyterian Church,42,3,2,3,2,423006,0,433329,595,433924,310161,57498,402492,11711.5945945946
Greenville,SC,Second Presbyterian Church,733,39,55,17,28,1807435,880392,2800827,245633,3046460,1501788,64292,1880650,4905.12609457093
Albemarle,NC,Second Street Presbyterian Church,73,10,7,1,4,113121,15300,130921,NA,130921,114032,1000,115732,2146.24590163934
Armonk,NY,Sekwang Korean Presbyterian Church,60,1,1,2,4,210000,NA,230000,NA,230000,150000,NA,175500,3833.33333333333
San Diego,CA,Servant Church of San Diego,44,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Somerville,MA,Seven Hills Presbyterian Church,92,17,1,1,1,190811,NA,213244,NA,213244,168395,NA,187354,3807.92857142857
Lecanto,FL,Seven Rivers Presbyterian Church,1785,147,101,7,8,4194829,1183220,5517793,965148,6482941,3904898,880732,5254461,3740.87661016949
Wildwood,FL,Seven Rivers Villages Church,85,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Glade Spring,VA,Seven Springs Presbyterian Church,79,1,2,5,2,111184,3865,118442,NA,118442,87413,NA,99278,1692.02857142857
Millersville,MD,Severn Run Evangelical Presbyterian Church,172,12,1,5,6,314959,0,329147,149,329296,248335,32908,284570,2551.52713178295
Pasadena,MD,Severna Park Evangelical Presbyterian Church,31,36,22,16,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derwood,MD,Shady Grove Presbyterian Church,279,18,13,8,7,824776,NA,864267,NA,864267,804557,NA,909582,3571.35123966942
Torrance,CA,Shalom Church of Southern California,731,55,45,9,15,1344727,177500,1751199,NA,1751199,985333,414000,1679433,2395.62106703146
Mendenhall,MS,Sharon Presbyterian Church,84,2,1,5,5,91025,9004,101075,0,101075,95633,0,99233,1295.83333333333
Mooresville,NC,Shearer Presbyterian Church,200,13,10,8,6,349899,353270,703169,25432,728601,327774,NA,384659,3515.845
Madison,MS,Shiloh Presbyterian Church,9,1,0,NA,NA,20224,NA,20224,NA,20224,21522,NA,24774,2247.11111111111
Vaiden,MS,Shongalo Presbyterian Church,40,2,1,4,4,89256,0,93886,0,93886,74240,979,92744,2407.33333333333
Easton,MD,Shore Harvest Presbyterian Church,39,10,11,3,3,179240,10000,192240,5500,197740,161417,18839,185895,4929.23076923077
Fresno,CA,Sierra View Presbyterian Church,39,1,3,2,3,194000,NA,202850,15850,218700,193060,NA,202090,5966.17647058824
Sierra Vista,AZ,Sierra Vista United Korean Presbyterian Church,50,22,2,1,0,25000,10000,90000,10000,100000,NA,NA,500,1800
Centennial,CO,Skyview Presbyterian Church,209,29,9,3,3,574636,0,574636,19620,594256,491694,0,547899,3636.93670886076
Newberry,SC,Smyrna Presbyterian Church,220,15,2,5,8,190000,80000,271000,NA,271000,155000,NA,175950,1531.07344632768
Smyrna,GA,Smyrna Presbyterian Church,378,34,6,5,15,1157111,338168,1529814,20537,1550351,929650,34204,1111291,5708.26119402985
Scottsdale,AZ,Sojourn Church,50,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boonville,NC,Soma Valley,70,3,1,2,1,99070,NA,99070,NA,99070,47513,NA,71348,2303.95348837209
Boonville,NC,Soma Valley,70,3,1,2,1,99070,NA,99070,NA,99070,47513,NA,71348,2303.95348837209
Baton Rouge,LA,South Baton Rouge Presbyterian Church,340,15,17,9,10,1145169,NA,1145169,NA,1145169,945169,NA,1145169,4104.54838709677
Charlotte,NC,South Charlotte Presbyterian Church,75,5,18,3,2,575002,NA,575002,13991,588993,703654,NA,759698,8712.15151515152
Kettering,OH,South Dayton Presbyterian Church,338,16,35,7,7,844532,8492,900542,1378962,2279504,721186,800999,1642838,4618.1641025641
Sharon,GA,South Liberty Presbyterian Church,4,0,0,NA,NA,5825,NA,5825,NA,5825,8605,NA,9409,1456.25
Huntersville,NC,Southlake Presbyterian Church,98,1,9,3,5,240905,NA,247347,10635,257982,NA,NA,102200,3342.52702702703
Nolensville,TN,Southpointe Community Church,550,53,16,10,7,1588070,766692,2383934,561384,2945318,1938531,7650,1962681,6513.48087431694
Corpus Christi,TX,Southside Community Church,244,11,4,5,5,331285,0,370840,4465,375305,271410,18600,344318,1685.63636363636
Bellaire,TX,Southwest Presbyterian Church,149,10,7,7,6,442144,80123,544689,12079,556768,290466,200753,537129,4392.65322580645
Huntsville,AL,Southwood Presbyterian Church,1019,31,77,13,17,2774937,NA,2774937,15155,2790092,2260702,136449,2679198,3765.17910447761
Charlotte,NC,Sovereign Grace Presbyterian Church,425,39,25,11,11,1314608,257878,1790223,NA,1790223,1247134,170058,1615866,5359.94910179641
Boca Raton,FL,Spanish River Church,1314,95,20,12,29,7816996,1139387,8956383,7775881,16732264,11888899,1694402,14727531,6816.12100456621
Ripley,MS,Spout Springs Presbyterian Church,33,2,0,4,1,76476,NA,76776,NA,76776,73399,NA,83213,2326.54545454545
Manassas,VA,Spriggs Road Presbyterian Church,229,7,3,5,9,543742,9153,567895,111253,679148,619073,9153,701874,3505.52469135802
Spring,TX,Spring Cypress Presbyterian Church,253,26,24,5,6,717963,NA,749697,6665,756362,668479,NA,751496,4009.07486631016
Byrnes Mill,MO,Spring Hills Presbyterian Church,105,0,0,NA,NA,324179,NA,324179,NA,324179,365763,NA,438661,3813.87058823529
Las Vegas,NV,Spring Meadows Presbyterian Church,226,38,12,9,7,800000,NA,812050,417,812467,NA,NA,23400,4748.83040935672
Midlothian,VA,Spring Run Presbyterian Church of Chesterfield County,389,26,15,12,12,988833,284690,1337128,33600,1370728,792411,141482,992893,4472
Dunnellon,FL,Springs Presbyterian Church,27,1,4,4,4,119438,NA,119438,NA,119438,134264,NA,142904,4423.62962962963
Newtown Square,PA,Springton Lake Presbyterian Church,412,26,7,8,6,1156278,43495,1290200,12725,1302925,906501,160886,1237914,3957.66871165644
Port Orange,FL,Spruce Creek Presbyterian Church,154,14,11,8,6,451348,400,498173,14542,512715,357008,NA,429740,3583.97841726619
Columbia,SC,St. Andrews Presbyterian Church,532,27,40,24,21,1982147,72840,2077286,73783,2151069,1698178,57326,2103074,4515.83913043478
Americus,GA,St. Andrews Presbyterian Church,25,0,10,2,1,66531,NA,66531,40000,106531,108560,NA,110760,2772.125
Midland,GA,St. Andrews Presbyterian Church,396,36,12,10,12,1001387,0,1049189,25799,1074988,883749,0,1067219,3605.46048109966
Yakima,WA,St. Andrews Presbyterian Church Yakima,121,9,3,0,0,236000,174113,531649,13960,545609,325000,NA,332200,5842.2967032967
Chattanooga,TN,St. Elmo Presbyterian Church,160,9,6,5,6,321748,10955,350248,8511,358759,248030,4456,318234,2501.77142857143
Orlando,FL,St. John's Presbyterian Church,126,29,10,3,3,565119,NA,570119,7288,577407,393404,100000,541354,5136.20720720721
Orlando,FL,St. Paul's Presbyterian Church,685,70,44,14,15,2069275,NA,2325986,52414,2378400,1708165,NA,2070372,4363.9512195122
St. Petersburg,FL,St. Petersburg Presbyterian Church,118,12,11,2,4,512212,27414,614998,230971,845969,706092,0,848440,5211.84745762712
New Orleans,LA,St. Roch Community Church,66,3,0,1,0,71488,NA,261905,17846,279751,268246,NA,270296,4515.60344827586
New Holland,PA,St. Stephen Reformed Church,224,9,25,4,4,524375,38410,562785,NA,562785,493198,47602,582655,2512.43303571429
Starkville,MS,Starkville Korean Church,42,4,1,NA,NA,61671,270,76681,436,77117,72772,0,75582,2949.26923076923
State College,PA,State College Korean Church,130,16,8,1,0,146741,46215,194060,5000,199060,146948,18585,175233,1980.20408163265
West Grove,PA,"Stillwaters Presbyterian Church, PCA",72,7,8,4,3,240000,0,270000,0,270000,265000,0,275550,4426.22950819672
Stockton,CA,Stockton Bansuk Presbyterian Church,150,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charlotte,NC,StoneBridge Church Community,957,55,60,10,11,2605012,NA,2916465,259053,3175518,2426512,NA,3032110,4067.59414225941
Richmond,VA,Stony Point Reformed Presbyterian Church,690,43,8,17,20,1883123,55994,2150930,48906,2199836,1459586,79510,2028789,3975.84103512015
Mayfield Heights,OH,Story Church,32,0,0,NA,NA,109000,NA,109000,NA,109000,112000,NA,113500,5450
Lakeland,FL,Strong Tower Church,232,0,0,6,5,357815,NA,543273,NA,543273,NA,NA,0,3597.83443708609
North Potomac,MD,Sungdo Presbyterian Church of Washington,27,0,0,1,1,97632,NA,112054,NA,112054,80246,20000,104046,6225.22222222222
Myrtle Beach,SC,Surfside Presbyterian Church,412,21,19,10,6,1015828,35447,1144627,65182,1209809,888514,64063,1131410,3093.58648648649
